customer_id,segment,offer_type,assigned_group,converted
C000029,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,treatment,0
C000029,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,control,1
C000030,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,treatment,0
C000030,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,0
C000031,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000031,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,control,0
C000032,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,treatment,1
C000032,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,control,0
C000032,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,0
C000033,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,treatment,0
C000034,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000034,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000035,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000035,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000036,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000037,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000037,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000038,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000038,High-value engaged investors,MANAGED_SERVICE_EDUCATION,treatment,1
C000038,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000039,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000039,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000040,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000041,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000042,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,control,0
C000042,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000042,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,0
C000043,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,control,0
C000043,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,control,0
C000043,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000044,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000044,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000044,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000045,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000046,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000046,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000047,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,0
C000047,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000047,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,control,0
C000048,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,control,0
C000048,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,1
C000049,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,0
C000049,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,0
C000049,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,0
C000050,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000050,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,0
C000050,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,0
C000051,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,control,1
C000052,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000052,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000052,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000053,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,1
C000054,High-value engaged investors,MANAGED_SERVICE_EDUCATION,treatment,1
C000055,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,control,0
C000055,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000055,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000056,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,control,0
C000057,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,control,0
C000057,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,0
C000058,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000058,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,control,1
C000059,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,control,0
C000060,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000061,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000061,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000061,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000062,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,control,0
C000062,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,0
C000063,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000063,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000063,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,control,0
C000064,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,0
C000065,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,control,1
C000066,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000066,High-value engaged investors,MANAGED_SERVICE_EDUCATION,control,1
C000066,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000067,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,control,0
C000068,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000069,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,1
C000070,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000071,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000072,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000072,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,control,0
C000072,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000073,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000074,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000075,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,control,0
C000076,High-value engaged investors,ISA_ALLOWANCE_REMINDER,control,0
C000076,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000077,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,control,0
C000077,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000078,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000078,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,control,1
C000078,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000079,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000079,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000079,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,0
C000080,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000081,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,treatment,1
C000081,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000082,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,1
C000082,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000082,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,treatment,0
C000083,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,control,0
C000084,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,control,0
C000084,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,control,0
C000084,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000085,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,control,0
C000085,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,treatment,0
C000086,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000086,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,control,1
C000087,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000088,High-value engaged investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000088,High-value engaged investors,ISA_ALLOWANCE_REMINDER,control,0
C000089,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000089,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,control,0
C000090,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000090,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000090,High-value engaged investors,ISA_ALLOWANCE_REMINDER,control,0
C000091,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,0
C000091,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,1
C000091,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,control,1
C000092,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000092,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000093,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000093,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,control,0
C000094,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000094,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000094,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,0
C000095,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000095,High-value engaged investors,MANAGED_SERVICE_EDUCATION,control,0
C000095,High-value engaged investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000096,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000096,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,control,0
C000096,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000097,High-value engaged investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000097,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000098,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000098,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000099,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,0
C000099,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,control,0
C000100,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,control,0
C000100,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,control,0
C000100,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,treatment,0
C000101,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,control,0
C000101,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,0
C000102,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000103,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000104,High-value engaged investors,ISA_ALLOWANCE_REMINDER,control,0
C000104,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000104,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000105,High-value engaged investors,ISA_ALLOWANCE_REMINDER,control,1
C000105,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000106,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000106,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,0
C000106,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000107,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,control,1
C000108,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000109,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000110,High-value engaged investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000110,High-value engaged investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000111,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,control,0
C000111,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000112,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000112,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,0
C000112,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,treatment,0
C000113,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000113,High-value engaged investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000113,High-value engaged investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000114,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000115,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000115,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,0
C000115,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000116,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000116,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000117,High-value engaged investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000117,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000117,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000118,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000118,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000119,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000119,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000119,High-value engaged investors,MANAGED_SERVICE_EDUCATION,control,0
C000120,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000120,High-value engaged investors,ISA_ALLOWANCE_REMINDER,control,0
C000121,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,treatment,1
C000121,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000121,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000122,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000122,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000123,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,control,0
C000123,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000124,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000124,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000125,High-value engaged investors,MANAGED_SERVICE_EDUCATION,control,0
C000126,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000126,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000126,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,control,1
C000127,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000127,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,control,0
C000127,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000128,High-value engaged investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000128,High-value engaged investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000128,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000129,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,treatment,0
C000129,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,0
C000130,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,control,0
C000131,High-value engaged investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000131,High-value engaged investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000132,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000132,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,control,0
C000132,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,control,0
C000133,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,0
C000134,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000135,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,0
C000135,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,control,1
C000135,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,control,0
C000136,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,0
C000137,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000137,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,control,0
C000137,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000138,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,control,0
C000139,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000139,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,0
C000140,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000141,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000142,High-value engaged investors,MANAGED_SERVICE_EDUCATION,control,0
C000142,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000142,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000143,High-value engaged investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000144,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000144,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000145,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,0
C000145,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,0
C000146,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,control,0
C000146,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,1
C000147,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000147,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,control,1
C000147,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,control,0
C000148,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,0
C000148,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,treatment,0
C000148,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,control,0
C000149,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000149,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000150,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,control,1
C000150,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000151,High-value engaged investors,ISA_ALLOWANCE_REMINDER,control,0
C000151,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000151,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000152,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000153,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000153,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000153,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000154,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,control,0
C000154,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,control,0
C000155,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000155,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,control,0
C000155,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000156,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,0
C000157,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000158,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,control,0
C000158,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000158,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,control,0
C000159,High-value engaged investors,ISA_ALLOWANCE_REMINDER,control,0
C000159,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000160,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000160,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,control,1
C000161,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000161,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000162,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000162,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000163,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,0
C000164,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,0
C000164,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,control,0
C000164,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,0
C000165,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000165,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,control,0
C000165,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000166,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000167,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000168,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000168,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000169,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000169,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000169,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,control,0
C000170,Cash-heavy cautious investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000170,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,1
C000171,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,control,0
C000171,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,control,0
C000172,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000172,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000173,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000173,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000174,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,1
C000175,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000175,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000175,High-value engaged investors,CASH_TO_INVEST_EDUCATION,control,0
C000176,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,treatment,0
C000176,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,0
C000177,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000177,Emerging monthly investors,CASH_TO_INVEST_EDUCATION,control,0
C000177,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000178,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,0
C000178,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,control,1
C000179,High-value engaged investors,MANAGED_SERVICE_EDUCATION,treatment,0
